Site,Bulk Sample,Rhizosphere sample,,,
CHY,BS-E1,RS-E1,,,Missing for DNA extraction
CHY,BS-E2,RS-E2,,,
CHY,BS-E3,RS-E3,,,
CHY,BS-1,RS-1-1,,,
CHY,BS-2,RS-1-2,,,
CHY,BS-3,RS-1-3,,,
CHY,BS-7,RS-2-1,,,
CHY,BS-8,RS-2-2,,,
CHY,BS-9,RS-2-3,,,
CHY,BS-13,RS-3-1,,,
CHY,BS-14,RS-3-2,,,
CHY,BS-15,RS-3-3,,,
CHY,BS-19,RS-7-1,,,
CHY,BS-20,RS-7-2,,,
CHY,BS-21,RS-7-3,,,
CHY,BS-25,RS-8-1,,,
CHY,BS-26,RS-8-2,,,
CHY,BS-27,RS-8-3,,,
CHY,BS-28,RS-9-1,,,
CHY,BS-29,RS-9-2,,,
CHY,BS-30,RS-9-3,,,
CHY,NA,RS-13-1,,,
CHY,NA,RS-13-2,,,
CHY,NA,RS-13-3,,,
CHY,NA,RS-14-1,,,
CHY,NA,RS-14-2,,,
CHY,NA,RS-14-3,,,
CHY,NA,RS-15-1,,,
CHY,NA,RS-15-2,,,
CHY,NA,RS-15-3,,,
CHY,NA,RS-19-1,,,
CHY,NA,RS-19-2,,,
CHY,NA,RS-19-3,,,
CHY,NA,RS-20-1,,,
CHY,NA,RS-20-2,,,
CHY,NA,RS-20-3,,,
CHY,NA,RS-21-1,,,
CHY,NA,RS-21-2,,,
CHY,NA,RS-21-3,,,
CHY,NA,RS-25-1,,,
CHY,NA,RS-25-2,,,
CHY,NA,RS-25-3,,,
CHY,NA,RS-26-1,,,
CHY,NA,RS-26-2,,,
CHY,NA,RS-26-3,,,
CHY,NA,RS-27-1,,,
CHY,NA,RS-27-2,,,
CHY,NA,RS-27-3,,,
CHY,NA,RS-28-1,,,
CHY,NA,RS-28-2,,,
CHY,NA,RS-28-3,,,
CHY,NA,RS-29-1,,,
CHY,NA,RS-29-2,,,
CHY,NA,RS-29-3,,,
CHY,NA,RS-30-1,,,
CHY,NA,RS-30-2,,,
CHY,NA,RS-30-3,,,
SGS,BS-E1,RS-E1-B,,,
SGS,BS-E2,RS-E1-E,,,
SGS,BS-E3,RS-E2-B,,,
SGS,BS-1,RS-E2-E,,,
SGS,BS-2,RS-1-1-E,,,
SGS,BS-3,RS-1-2-E,,,
SGS,BS-7,RS-2-1-B,,,
SGS,BS-8,RS-2-1-E,,,
SGS,BS-9,RS-2-2-B,,,
SGS,BS-13,RS-2-2-E,,,
SGS,BS-14,RS-3-1-B,,,
SGS,BS-15,RS-3-1-E,,,
SGS,BS-19,RS-3-2-B,,,
SGS,BS-20,RS-3-2-E,,,
SGS,BS-21,RS-7-1-B,,,
SGS,BS-25,RS-7-1-E,,,
SGS,BS-26,RS-7-2-B,,,
SGS,BS-27,RS-7-2-E,,,
SGS,NA,RS-8-1-B,,,
SGS,NA,RS-8-1-E,,,
SGS,NA,RS-8-2-B,,,
SGS,NA,RS-8-2-E,,,
SGS,NA,RS-9-1-B,,,
